scenario,seed,metric_group,metric,scale,proposed,simple,per_agent,proposed_minus_simple,proposed_minus_per_agent,interpretation_class
StateImport,20260834,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.133333333333,0.0,0.866666666667,1.0,Diagnostic only
StateImport,20260835,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.083333333333,0.0,0.916666666667,1.0,Diagnostic only
StateImport,20260836,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.1,0.0,0.9,1.0,Diagnostic only
StateImport,20260837,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.133333333333,0.0,0.866666666667,1.0,Diagnostic only
StateImport,20260838,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.133333333333,0.0,0.866666666667,1.0,Diagnostic only
StateImport,20260839,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.033333333333,0.0,0.966666666667,1.0,Diagnostic only
StateImport,20260840,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.05,0.0,0.95,1.0,Diagnostic only
StateImport,20260841,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.166666666667,0.0,0.833333333333,1.0,Diagnostic only
StateImport,20260842,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.05,0.0,0.95,1.0,Diagnostic only
StateImport,20260843,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.05,0.0,0.95,1.0,Diagnostic only
StateImport,20260844,Internal diagnostic,Continuity.Diagnostic.EventIDExactMismatchRate,paired_snapshots=60;internal_representation_only,1.0,0.033333333333,0.0,0.966666666667,1.0,Diagnostic only
StateImport,20260815,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260816,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260817,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260818,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260819,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260820,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260821,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260822,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260823,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260824,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260825,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260826,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260827,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260828,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260829,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260830,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260831,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
